월,구분,담당부서,광고주명,코드,총매출,영업수익,영업비용,영업실적,인건비,관리손익
1월,광고주,광고사업1본부2실6팀 (이상우),씨제이 제일제당(주),42154,"1,591,862,201","202,173,068","3,008,620","199,164,448","88,667,967","110,496,481"
1월,광고주,광고사업2본부1실3팀 (장채은),주식회사 에이피알,58263,"1,227,075,699","172,946,639","41,735,935","131,210,704","75,844,815","55,365,889"
1월,광고주,광고사업3본부1실3팀 (이유진),(주)지에스리테일 홈쇼핑,61258,"693,987,568","102,530,775","127,725","102,403,050","75,390,546","27,012,504"
1월,광고주,광고사업1본부2실1팀 (추성호),라이나생명보험(주),61571,"1,054,122,090","138,026,161","26,495,599","111,530,562","74,127,773","37,402,789"
1월,광고주,광고사업3본부1실2팀 (조학성),십일번가 주식회사,60976,"1,407,712,319","93,356,093","11,827,900","81,528,193","73,745,961","7,782,232"
1월,광고주,광고사업1본부1실2팀 (이남준),(주)엘지유플러스,61001,"913,376,088","130,625,509","2,979,552","127,645,957","73,214,978","54,430,979"
1월,광고주,광고사업3본부2실6팀 (조정훈),씨제이올리브영 주식회사,59875,"569,698,017","85,454,706",0,"85,454,706","71,307,415","14,147,291"
1월,광고주,광고사업3본부2실4팀 (조다솜),이니스프리,57802,"561,819,866","72,911,844","7,156,722","65,755,122","51,653,806","14,101,316"
1월,광고주,광고사업2본부3실4팀 (이세나),네슬레코리아 유한책임회사,60374,"396,598,675","60,162,782","152,290","60,010,492","47,752,417","12,258,075"
1월,광고주,광고사업3본부1실3팀 (이유진),(주)종근당,60913,"462,735,273","70,209,975","1,357,880","68,852,095","47,412,078","21,440,017"
1월,광고주,광고사업1본부1실4팀 (유승연),주식회사 버킷플레이스,61240,"503,949,305","48,561,775","7,430,618","41,131,157","41,168,413","-37,256"
1월,광고주,광고사업1본부1실4팀 (유승연),주식회사 버킷플레이스,60029,"328,650,470","49,297,573","14,938,658","34,358,915","36,908,677","-2,549,762"
1월,광고주,광고사업3본부1실1팀 (강기민),(주)지에스리테일 홈쇼핑,61393,"356,090,326","53,413,554",0,"53,413,554","36,822,924","16,590,630"
1월,광고주,광고사업2본부1실6팀 (이승화),(주)코스알엑스,61268,"119,559,537","22,382,392",0,"22,382,392","36,342,465","-13,960,073"
1월,광고주,광고사업1본부2실7팀 (주낙규),라이나생명보험(주)_CM,61572,"286,040,446","41,861,843","-26,495,599","68,357,442","35,756,283","32,601,159"
1월,광고주,광고사업3본부1실1팀 (강기민),에스케이렌터카 주식회사,61386,"193,849,990","25,555,817","472,519","25,083,298","32,433,630","-7,350,332"
1월,광고주,광고사업1본부2실5팀 (조정현),엘지전자(주),56076,"268,592,787","37,315,645","13,069,533","24,246,112","31,788,778","-7,542,666"
1월,광고주,광고사업2본부1실1팀 (구준수),주식회사 지누스,59244,"184,706,377","26,408,957",0,"26,408,957","28,154,590","-1,745,633"
